"variable","Unbiased","Biased"
"Age_Group",0.0520684341144317,0.193036338005326
"Gender",0.0281153416209879,0.179846491005903
"Race_or_Ethnicity",0.0872410171591983,0.409705970614917
"Education",0.027995740710513,0.0509152212663218
"Smoker",0.0288225134111411,0.0323165489242213
"SBP",0.0664744337468359,0.00907610214366909
"FPG",0.0194816100498593,0.115413848899027
"TC",0.00690675167225325,0.0054833802066608
"CVDHISTORY",0.0193722659154586,0.562220182268033
"CVDPOINTS",0.0201234198021947,0.530259474200857
"SERUMCREAT",0.0446238779613041,0.148433796858667
"GFRESTIMATE",0.0215190649222615,0.141375203869412
